"sourceKind","sourceId","sourceName","relation","targetKind","targetId","targetName"
"tag","88","Pinterest - Account Sign Up","references_elevar_entity","trigger","87","Event - sign_up"
"tag","174","TikTok - Account Sign Up","references_elevar_entity","trigger","87","Event - sign_up"
"tag","198","Facebook - Account Sign Up","references_elevar_entity","trigger","87","Event - sign_up"
"tag","304","GA4 - Sign Up For Account","references_elevar_entity","trigger","87","Event - sign_up"
"trigger","90","Event - subscribe - email","references_variable","variable","89","dlv - Subscribe - Lead Type"
"tag","111","Pinterest - Lead","references_elevar_entity","trigger","90","Event - subscribe - email"
"tag","171","TikTok - Email Signup","references_elevar_entity","trigger","90","Event - subscribe - email"
"tag","207","Facebook - Email Signup","references_elevar_entity","trigger","90","Event - subscribe - email"
"tag","298","GA4 - Email Subscribe","references_elevar_entity","trigger","90","Event - subscribe - email"
"tag","121","Elevar Monitoring Tag Info","references_elevar_entity","trigger","108","All Events"
"trigger","113","Event - subscribe - phone","references_variable","variable","89","dlv - Subscribe - Lead Type"
"tag","180","Facebook - SMS Signup","references_elevar_entity","trigger","113","Event - subscribe - phone"
"tag","288","GA4 - SMS Subscribe","references_elevar_entity","trigger","113","Event - subscribe - phone"
"tag","124","Pinterest - Pageview","references_elevar_entity","trigger","120","Event - user_data"
"tag","179","Facebook - Sitewide Pixel","references_elevar_entity","trigger","120","Event - user_data"
"tag","286","GA4 Base Tag Configuration","references_elevar_entity","trigger","120","Event - user_data"
"tag","606","StackAdapt - Page View (SPA)","references_elevar_entity","trigger","120","Event - user_data"
"tag","124","Pinterest - Pageview","references_elevar_entity","trigger","123","Exception - Product Pages"
"trigger","159","Event - subscription purchase","references_variable","variable","158","js - Has Subscription Purchase"
"tag","160","TikTok - Subscription Purchase","references_elevar_entity","trigger","159","Event - subscription purchase"
"tag","193","Facebook - Subscribe","references_elevar_entity","trigger","159","Event - subscription purchase"
"tag","164","TikTok - Add Payment Info","references_elevar_entity","trigger","162","Event - add_payment_info"
"tag","201","Facebook - Add Payment Info","references_elevar_entity","trigger","162","Event - add_payment_info"
"tag","274","GA4 - Add Payment Info","references_elevar_entity","trigger","162","Event - add_payment_info"
"tag","170","TikTok - Initiate Checkout","references_elevar_entity","trigger","169","Event - begin_checkout"
"tag","204","Facebook - Initiate Checkout","references_elevar_entity","trigger","169","Event - begin_checkout"
"tag","290","GA4 - Begin Checkout","references_elevar_entity","trigger","169","Event - begin_checkout"
"tag","179","Facebook - Sitewide Pixel","references_elevar_entity","trigger","178","Exception Event - Purchase Thank You Page"
"tag","182","Facebook - Store event_id","references_elevar_entity","trigger","181","Event - user_data - Thank You Page"
"tag","221","GA4 Event - collection page - product lists click","references_elevar_entity","trigger","220","Click - GA4 Event - collection page - product lists click"
"tag","223","GA4 Event - home page - featured collection click","references_elevar_entity","trigger","222","Click - GA4 Event - home page - featured collection click"
"tag","261","GA4 Event - home page - featured category click","references_elevar_entity","trigger","224","Click - GA4 Event - home page - featured category click"
"tag","263","GA4 Event - navigation - announcement header click","references_elevar_entity","trigger","225","Click - GA4 Event - navigation - announcement header click"
"tag","227","GA4 Event - navigation - footer nav click","references_elevar_entity","trigger","226","Click - GA4 Event - navigation - footer nav click"
"tag","229","GA4 Event - product page - add to cart click","references_elevar_entity","trigger","228","Click - GA4 Event - product page - add to cart click"
"tag","231","GA4 Event - recommended products click","references_elevar_entity","trigger","230","Click - GA4 Event - recommended products click"
"tag","233","GA4 Event - home page - shop onesies click","references_elevar_entity","trigger","232","Click - GA4 Event - home page - shop onesies click"
"tag","264","GA4 Event - home page - instagram feed interaction click","references_elevar_entity","trigger","234","Click - GA4 Event - home page - instagram feed interaction click"
"tag","237","GA4 Event - home page - featured products click","references_elevar_entity","trigger","235","Click - GA4 Event - home page - featured products click"
"tag","237","GA4 Event - home page - featured products click","references_elevar_entity","trigger","236","Click - GA4 Event - home page - featured products 2 click"
"trigger","238","Click - GA4 Event - cart drawer - upsell products click","references_variable","variable","300","js - Add To Cart Value"
"tag","239","GA4 Event - cart drawer - upsell products click","references_elevar_entity","trigger","238","Click - GA4 Event - cart drawer - upsell products click"
"tag","265","GA4 Event - home page - shop outfit section click","references_elevar_entity","trigger","240","Click - GA4 Event - home page - shop outfit section click"
"tag","250","GA4 Event - navigation - desktop main nav click","references_elevar_entity","trigger","241","Click - GA4 Event - navigation - desktop main nav 2 click"
"tag","259","GA4 Event - cart drawer - checkout click","references_elevar_entity","trigger","242","Click - GA4 Event - cart drawer - checkout click"
"tag","250","GA4 Event - navigation - desktop main nav click","references_elevar_entity","trigger","243","Click - GA4 Event - navigation - desktop main nav click"
"tag","251","GA4 Event - product page - hot seller products click","references_elevar_entity","trigger","244","Click - GA4 Event - product page - hot seller products click"
"tag","248","GA4 Event - home page - deal of the week click","references_elevar_entity","trigger","245","Click - GA4 Event - home page - deal of the week click"
